sensor_number;inverter_number;;Xsrn;Ysrn;Zsrn
167;5;;12,02;10,1437;0,6129
168;5;;14,02;10,1437;0,6129
169;5;;16,02;10,1437;0,6129
170;5;;18,02;10,1437;0,6129
171;5;;20,02;10,1437;0,6129
172;5;;22,02;10,1437;0,6129
173;5;;24,02;10,1437;0,6129
174;5;;26,02;10,1437;0,6129
175;5;;28,02;10,1437;0,6129
176;5;;30,02;10,1437;0,6129
177;5;;32,02;10,1437;0,6129
178;5;;34,02;10,1437;0,6129
179;5;;36,02;10,1437;0,6129
180;5;;38,02;10,1437;0,6129
181;5;;0,02;10,9097;1,2556
182;5;;2,02;10,9097;1,2556
183;5;;4,02;10,9097;1,2556
184;5;;6,02;10,9097;1,2556
185;5;;8,02;10,9097;1,2556
186;5;;10,02;10,9097;1,2556
187;5;;12,02;10,9097;1,2556
188;5;;14,02;10,9097;1,2556
189;5;;16,02;10,9097;1,2556
190;5;;18,02;10,9097;1,2556
191;5;;20,02;10,9097;1,2556
192;5;;22,02;10,9097;1,2556
193;5;;24,02;10,9097;1,2556
194;5;;26,02;10,9097;1,2556
195;5;;28,02;10,9097;1,2556
196;5;;30,02;10,9097;1,2556
197;5;;32,02;10,9097;1,2556
198;5;;34,02;10,9097;1,2556
199;5;;36,02;10,9097;1,2556
200;5;;38,02;10,9097;1,2556
201;6;;0,02;12,6758;0,6129
202;6;;2,02;12,6758;0,6129
203;6;;4,02;12,6758;0,6129
204;6;;6,02;12,6758;0,6129
205;6;;8,02;12,6758;0,6129
206;6;;10,02;12,6758;0,6129
207;6;;12,02;12,6758;0,6129
208;6;;14,02;12,6758;0,6129
209;6;;16,02;12,6758;0,6129
210;6;;18,02;12,6758;0,6129
211;6;;20,02;12,6758;0,6129
212;6;;22,02;12,6758;0,6129
213;6;;24,02;12,6758;0,6129
214;6;;26,02;12,6758;0,6129
215;6;;28,02;12,6758;0,6129
216;6;;30,02;12,6758;0,6129
217;6;;32,02;12,6758;0,6129
218;6;;34,02;12,6758;0,6129
219;6;;36,02;12,6758;0,6129
220;6;;38,02;12,6758;0,6129
221;6;;0,02;13,4418;1,2556
222;6;;2,02;13,4418;1,2556
223;6;;4,02;13,4418;1,2556
224;6;;6,02;13,4418;1,2556
225;6;;8,02;13,4418;1,2556
226;6;;10,02;13,4418;1,2556
227;6;;12,02;13,4418;1,2556
228;6;;14,02;13,4418;1,2556
229;6;;16,02;13,4418;1,2556
230;6;;18,02;13,4418;1,2556
231;6;;20,02;13,4418;1,2556
232;6;;22,02;13,4418;1,2556
233;6;;24,02;13,4418;1,2556
234;6;;26,02;13,4418;1,2556
235;6;;28,02;13,4418;1,2556
236;6;;30,02;13,4418;1,2556
237;6;;32,02;13,4418;1,2556
238;6;;34,02;13,4418;1,2556
239;6;;36,02;13,4418;1,2556
240;6;;38,02;13,4418;1,2556
241;7;;0,02;15,2079;0,6129
242;7;;2,02;15,2079;0,6129
243;7;;4,02;15,2079;0,6129
244;7;;6,02;15,2079;0,6129
245;7;;8,02;15,2079;0,6129
246;7;;10,02;15,2079;0,6129
247;7;;12,02;15,2079;0,6129
248;7;;14,02;15,2079;0,6129
249;7;;16,02;15,2079;0,6129
250;7;;18,02;15,2079;0,6129
251;7;;20,02;15,2079;0,6129
252;7;;22,02;15,2079;0,6129
253;7;;24,02;15,2079;0,6129
254;7;;26,02;15,2079;0,6129
255;7;;28,02;15,2079;0,6129
256;7;;30,02;15,2079;0,6129
257;7;;32,02;15,2079;0,6129
258;7;;34,02;15,2079;0,6129
259;7;;36,02;15,2079;0,6129
260;7;;38,02;15,2079;0,6129
261;7;;0,02;15,9739;1,2556
262;7;;2,02;15,9739;1,2556
263;7;;4,02;15,9739;1,2556
264;7;;6,02;15,9739;1,2556
265;7;;8,02;15,9739;1,2556
266;7;;10,02;15,9739;1,2556
267;7;;12,02;15,9739;1,2556
268;7;;14,02;15,9739;1,2556
269;7;;16,02;15,9739;1,2556
270;7;;18,02;15,9739;1,2556
271;7;;20,02;15,9739;1,2556
272;7;;22,02;15,9739;1,2556
273;7;;24,02;15,9739;1,2556
274;7;;26,02;15,9739;1,2556
275;7;;28,02;15,9739;1,2556
276;7;;30,02;15,9739;1,2556
277;7;;32,02;15,9739;1,2556
278;7;;34,02;15,9739;1,2556
279;7;;36,02;15,9739;1,2556
280;7;;38,02;15,9739;1,2556
281;8;;0,02;17,7399;0,6129
282;8;;2,02;17,7399;0,6129
283;8;;4,02;17,7399;0,6129
284;8;;6,02;17,7399;0,6129
285;8;;8,02;17,7399;0,6129
286;8;;10,02;17,7399;0,6129
287;8;;12,02;17,7399;0,6129
288;8;;14,02;17,7399;0,6129
289;8;;16,02;17,7399;0,6129
290;8;;18,02;17,7399;0,6129
291;8;;20,02;17,7399;0,6129
292;8;;22,02;17,7399;0,6129
293;8;;24,02;17,7399;0,6129
294;8;;26,02;17,7399;0,6129
295;8;;28,02;17,7399;0,6129
296;8;;30,02;17,7399;0,6129
297;8;;32,02;17,7399;0,6129
298;8;;34,02;17,7399;0,6129
299;8;;36,02;17,7399;0,6129
300;8;;38,02;17,7399;0,6129
301;8;;0,02;18,506;1,2556
302;8;;2,02;18,506;1,2556
303;8;;4,02;18,506;1,2556
304;8;;6,02;18,506;1,2556
305;8;;8,02;18,506;1,2556
306;8;;10,02;18,506;1,2556
307;8;;12,02;18,506;1,2556
308;8;;14,02;18,506;1,2556
309;8;;16,02;18,506;1,2556
310;8;;18,02;18,506;1,2556
311;8;;20,02;18,506;1,2556
312;8;;22,02;18,506;1,2556
313;8;;24,02;18,506;1,2556
314;8;;26,02;18,506;1,2556
315;8;;28,02;18,506;1,2556
316;8;;30,02;18,506;1,2556
317;8;;32,02;18,506;1,2556
318;8;;34,02;18,506;1,2556
319;8;;36,02;18,506;1,2556
320;8;;38,02;18,506;1,2556
321;9;;0,02;20,272;0,6129
322;9;;2,02;20,272;0,6129
323;9;;4,02;20,272;0,6129
324;9;;6,02;20,272;0,6129
325;9;;8,02;20,272;0,6129
326;9;;10,02;20,272;0,6129
327;9;;12,02;20,272;0,6129
328;9;;14,02;20,272;0,6129
329;9;;16,02;20,272;0,6129
330;9;;18,02;20,272;0,6129
331;9;;20,02;20,272;0,6129
332;9;;22,02;20,272;0,6129
333;9;;24,02;20,272;0,6129
334;9;;26,02;20,272;0,6129
335;9;;28,02;20,272;0,6129
336;9;;30,02;20,272;0,6129
337;9;;32,02;20,272;0,6129
338;9;;34,02;20,272;0,6129
339;9;;36,02;20,272;0,6129
340;9;;38,02;20,272;0,6129
341;9;;0,02;21,0381;1,2556
342;9;;2,02;21,0381;1,2556
343;9;;4,02;21,0381;1,2556
344;9;;6,02;21,0381;1,2556
345;9;;8,02;21,0381;1,2556
346;9;;10,02;21,0381;1,2556
347;9;;12,02;21,0381;1,2556
348;9;;14,02;21,0381;1,2556
349;9;;16,02;21,0381;1,2556
350;9;;18,02;21,0381;1,2556
351;9;;20,02;21,0381;1,2556
352;9;;22,02;21,0381;1,2556
353;9;;24,02;21,0381;1,2556
354;9;;26,02;21,0381;1,2556
355;9;;28,02;21,0381;1,2556
356;9;;30,02;21,0381;1,2556
357;9;;32,02;21,0381;1,2556
358;9;;34,02;21,0381;1,2556
359;9;;36,02;21,0381;1,2556
360;9;;38,02;21,0381;1,2556
361;10;;0,02;22,8041;0,6129
362;10;;2,02;22,8041;0,6129
363;10;;4,02;22,8041;0,6129
364;10;;6,02;22,8041;0,6129
365;10;;8,02;22,8041;0,6129
366;10;;10,02;22,8041;0,6129
367;10;;12,02;22,8041;0,6129
368;10;;14,02;22,8041;0,6129
369;10;;16,02;22,8041;0,6129
370;10;;18,02;22,8041;0,6129
371;10;;20,02;22,8041;0,6129
372;10;;22,02;22,8041;0,6129
373;10;;24,02;22,8041;0,6129
374;10;;26,02;22,8041;0,6129
